volume (mL),WT[23May2024_CA-CTD_T188C] (UV),volume (mL),WT[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),WT LC[24May2024_CA-CTD_T188C] (UV),volume (mL),WT LC[24May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Red[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Red[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Red LC[24May2024_CA-CTD_T188C] (UV),volume (mL),T188C Red LC[24May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox[23May2024_CA-CTD_T188C] (Molar mass),volume (mL),T188C Ox LC[23May2024_CA-CTD_T188C] (UV),volume (mL),T188C Ox LC[23May2024_CA-CTD_T188C] (Molar mass)
0.00205,0.002733799,16.73065853,10344.57806,0.001141667,-0.012043705,17.34421148,10316.40094,0.006141667,0.000562333,16.72633327,13569.36911,0.003183333,0.001279452,17.27891984,152427.5476,0.008191667,0.000761361,16.50953404,24834.38896,0.00455,0.001921077,16.68265961,16556.81381
0.010467278,0.003010019,16.73907581,11181.45608,0.009558945,-0.013298155,17.36104604,9969.607041,0.014558945,0.000619062,16.73475055,13705.86106,0.011600614,0.001347934,17.28733712,134704.0691,0.016608945,0.000839202,16.55162043,22056.82695,0.01296728,0.002067899,16.69949417,17255.47456
0.018884556,0.003251023,16.74749309,11869.72442,0.017976222,-0.014382178,17.37788059,9480.10992,0.022976223,0.000667887,16.74316782,13791.23795,0.020017894,0.001406912,17.2957544,94000.08359,0.025026223,0.000906233,16.59370682,19343.56505,0.021384561,0.002290064,16.71632873,16958.24084
0.027301834,0.003464184,16.75591036,12154.03223,0.0263935,-0.015285875,17.39471515,9005.971601,0.031393501,0.000711822,16.7515851,13828.21741,0.028435174,0.001502277,17.30417168,70877.24489,0.033443501,0.000967141,16.63579321,18954.57214,0.029801841,0.002510992,16.73316329,17143.8937
0.035719111,0.003657203,16.76432764,12174.6891,0.034810778,-0.016025476,17.4115497,8751.051536,0.039810779,0.000755541,16.76000238,13906.07603,0.036852454,0.001617406,17.31258896,56735.15433,0.041860779,0.001028758,16.6778796,18534.45188,0.038219121,0.002730058,16.74999785,17476.60626
0.044136389,0.003834048,16.77274492,12100.65102,0.043228056,-0.016606581,17.42838426,9006.232236,0.048228057,0.000803339,16.76841966,14079.59314,0.045269735,0.001760826,17.32100624,49352.47555,0.050278057,0.001092011,16.71996599,18296.25442,0.046636401,0.002952252,16.76683241,17133.40225
0.052553667,0.003996631,16.7811622,12182.07223,0.051645334,-0.01703435,17.44521882,9103.689252,0.056645335,0.000853024,16.77683694,14360.29636,0.053687015,0.001928169,17.32942352,44897.53113,0.058695335,0.001152482,16.76205238,18620.19315,0.055053682,0.003256089,16.78366697,16415.22772
0.060970945,0.004144767,16.78957948,12510.97156,0.060062612,-0.017326108,17.46205337,9348.705967,0.065062613,0.000896894,16.78525421,14777.48977,0.062104295,0.00211547,17.3378408,41334.72395,0.067112613,0.001205269,16.80413877,18682.25278,0.063470962,0.003643964,16.80050153,16337.48635
0.069388223,0.0042779,16.79799675,12906.17353,0.06847989,-0.017588612,17.47888793,11119.67442,0.073479891,0.000935596,16.79367149,15007.04159,0.070521575,0.002277118,17.34625808,39091.89748,0.075529891,0.001251276,16.84622516,18436.93437,0.071888242,0.004026626,16.81733609,16538.42893
0.077805501,0.004394611,16.80641403,13249.55267,0.076897168,-0.01782656,17.49572248,13172.98274,0.081897169,0.000969752,16.80208877,15029.23213,0.078938856,0.002415839,17.35467536,45280.61395,0.083947169,0.001290483,16.88831155,18573.06738,0.080305522,0.004377016,16.83417065,16643.57449
0.086222779,0.004496381,16.81483131,13453.91757,0.085314445,-0.018071772,17.51255704,13421.24901,0.090314447,0.000999047,16.81050605,15013.64633,0.087356136,0.002523951,17.36309264,47339.13226,0.092364447,0.001321308,16.93039794,18712.26002,0.088722803,0.004610186,16.85100522,16489.3078
0.094640057,0.004582207,16.82324859,13539.33763,0.093731723,-0.018318931,17.5293916,12493.05981,0.098731725,0.001024082,16.81892333,15012.97582,0.095773416,0.002606562,17.37150992,46067.42651,0.100781725,0.001345133,16.97248433,19100.28611,0.097140083,0.004739836,16.86783978,17335.30826
0.103057334,0.004654058,16.83166586,13727.10154,0.102149001,-0.018518001,17.54622615,11757.54627,0.107149003,0.001044754,16.8273406,15065.46907,0.104190696,0.002663118,17.3799272,36710.47002,0.109199003,0.001364151,17.01457072,19189.56772,0.105557363,0.004761177,16.88467434,16880.67806
